windowID,windowStart,windowEnd,packetCount,tcpPacketCount,udpPacketCount,tcpRatio,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,throughput,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,tcpSynCount,tcpAckCount,tcpFinCount,tcpRstCount,tcpPshCount,tcpSynOnlyCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetTo_loungeBulb,packetFrom_loungeBulb,packetTo_bedroomBulb,packetFrom_bedroomBulb,packetTo_camera,packetFrom_camera,packetTo_hub,packetFrom_hub,packetTo_plug,packetFrom_plug,tlsHandshakeCount,avgTLSRecordLen,avgUDPLen,DNSQueryCount,uniqueDNSQueries,label
1087,1774194868.5075755,1774194869.5075755,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23584.0,2592.0,0,3,0,0,2,0,0,0,0.055007,0.02763819228893236,0.02794,0.083183,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulboff
1088,1774194876.2830224,1774194877.2830224,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33986.0,2368.0,0,4,0,0,3,0,0,0,0.0112425,0.012520437279371143,0.00195,0.028511,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingaroundhouse
1089,1774194878.6934025,1774194879.6934025,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23562.0,2559.0,0,3,0,0,2,0,0,0,0.018647333333333335,0.015255411411474074,0.001032,0.027506,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbon
1090,1774194882.7210221,1774194883.7210221,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,23453.333333333332,2396.0,0,3,0,0,2,0,0,0,0.0037526666666666667,0.0038580529199757404,0.000723,0.008096,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugoff
1091,1774194891.5106366,1774194892.5106366,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23082.0,1839.0,0,3,0,0,2,0,0,0,0.004723666666666667,0.0033703329706919662,0.002187,0.008548,1,2,0,0,0,0,0,0,0,0,0,170.0,,0,0,bulbchange
1092,1774194895.857259,1774194896.857259,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23431.333333333332,2363.0,0,3,0,0,2,0,0,0,0.012341333333333334,0.010538657662782927,0.002126,0.023176,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugon
1093,1774194912.913285,1774194913.913285,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23540.0,2526.0,0,3,0,0,2,0,0,0,0.0073690000000000005,0.006198842391930933,0.000383,0.012212,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulboff
1094,1774194918.991379,1774194919.991379,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,23409.333333333332,2330.0,0,3,0,0,2,0,0,0,0.04746633333333333,0.06462582386579944,0.002252,0.121486,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugoff
1095,1774194920.1913414,1774194921.1913414,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23518.0,2493.0,0,3,0,0,2,0,0,0,0.070176,0.0617107583894413,0.028751,0.1411,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbon
1096,1774194923.6757421,1774194924.6757421,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23039.333333333332,1775.0,0,3,0,0,2,0,0,0,0.09232666666666667,0.06263969597893441,0.022265,0.142922,1,2,0,0,0,0,0,0,0,0,0,170.0,,0,0,bulbchange
