windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
0,1770807429.809892,1770807434.809892,8.0,210.25,243.37258326630442,3.0,3.0,4.0,4.0,8.0,0.0
1,1770807434.809892,1770807439.809892,58.0,60.775862068965516,5.16752037128629,3.0,3.0,2.0,2.0,2.0,54.0
2,1770807439.809892,1770807444.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
3,1770807444.809892,1770807449.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1770807449.809892,1770807454.809892,53.0,79.73584905660377,104.0785854984655,2.0,2.0,2.0,2.0,5.0,48.0
5,1770807454.809892,1770807459.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
6,1770807459.809892,1770807464.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
7,1770807464.809892,1770807469.809892,48.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,48.0
8,1770807469.809892,1770807474.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
9,1770807474.809892,1770807479.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1770807479.809892,1770807484.809892,57.0,78.35087719298245,100.42152074915982,2.0,2.0,2.0,2.0,5.0,52.0
11,1770807484.809892,1770807489.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
12,1770807489.809892,1770807494.809892,148.0,295.11486486486484,420.38203427777336,3.0,3.0,4.0,4.0,148.0,0.0
13,1770807494.809892,1770807499.809892,426.0,136.20892018779344,68.96785962620194,7.0,7.0,4.0,4.0,331.0,63.0
14,1770807499.809892,1770807504.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
15,1770807504.809892,1770807509.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1770807509.809892,1770807514.809892,43.0,84.32558139534883,115.31338685145765,2.0,2.0,2.0,2.0,5.0,38.0
17,1770807514.809892,1770807519.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
18,1770807519.809892,1770807524.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
19,1770807524.809892,1770807529.809892,58.0,60.775862068965516,5.16752037128629,3.0,3.0,2.0,2.0,2.0,56.0
20,1770807529.809892,1770807534.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
21,1770807534.809892,1770807539.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1770807539.809892,1770807544.809892,34.0,99.70588235294117,131.60375084729404,2.0,2.0,2.0,2.0,8.0,26.0
