frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,udp.length
1774113184.063170000,0.003719000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2920,,,
1774113188.976927000,0.000294000,370,192.168.0.52,3.248.160.245,6,255,356,316,0x0018,10,52433,443,,,,2532,311,,
1774113189.004838000,0.027911000,87,3.248.160.245,192.168.0.52,6,115,73,33,0x0018,10,443,52433,,,,64032,28,,
1774113189.218788000,0.065241000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2499,,,
1774113205.101703000,0.118682000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113205.397800000,0.075150000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113205.702677000,0.032009000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113206.020638000,0.000028000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113206.310661000,0.026732000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113206.607803000,0.119768000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113206.907146000,0.000264000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113207.205661000,0.028726000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113209.915366000,0.018129000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113209.939261000,0.017464000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113209.940278000,0.001017000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113219.457582000,0.006942000,85,192.168.0.47,52.49.92.112,6,255,71,31,0x0018,71,52433,443,,,,2513,26,,
1774113219.484970000,0.017299000,85,52.49.92.112,192.168.0.47,6,115,71,31,0x0018,71,443,52433,,,,64032,26,,
1774113219.705662000,0.013090000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2482,,,
1774113220.454876000,0.002929000,85,192.168.0.59,52.50.169.45,6,255,71,31,0x0018,81,52433,443,,,,2920,26,,
1774113220.481973000,0.027097000,85,52.50.169.45,192.168.0.59,6,115,71,31,0x0018,81,443,52433,,,,64108,26,,
1774113220.698338000,0.015064000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2889,,,
1774113225.149150000,0.114527000,373,192.168.0.59,52.50.169.45,6,255,359,319,0x0018,81,52433,443,,,,2889,314,,
1774113225.176888000,0.023790000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113225.199432000,0.022544000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2856,,,
1774113227.362143000,0.001512000,372,192.168.0.47,52.49.92.112,6,255,358,318,0x0018,71,52433,443,,,,2482,313,,
1774113227.389034000,0.026891000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113227.456788000,0.067754000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2449,,,
1774113232.282973000,0.068442000,372,192.168.0.59,52.50.169.45,6,255,358,318,0x0018,81,52433,443,,,,2856,313,,
1774113232.309640000,0.026216000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113232.464462000,0.037250000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2823,,,
1774113250.510835000,0.011785000,371,192.168.0.47,52.49.92.112,6,255,357,317,0x0018,71,52433,443,,,,2449,312,,
1774113250.536799000,0.016473000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113250.750967000,0.000911000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2416,,,
1774113261.225159000,0.139090000,667,192.168.0.200,54.75.203.10,6,255,653,613,0x0018,19,52536,443,,,,2851,608,,
1774113261.250765000,0.025606000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113261.252565000,0.001800000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113261.255024000,0.002459000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2713,,,
1774113264.940894000,0.043577000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113264.968230000,0.002765000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113264.970815000,0.002585000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113266.596504000,0.080254000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113266.894099000,0.012415000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113267.193159000,0.026525000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113267.490317000,0.150797000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113267.798482000,0.000596000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113268.087875000,0.044553000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113268.390290000,0.122133000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113268.694537000,0.000692000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113271.213914000,0.014609000,315,192.168.0.200,54.75.203.10,6,255,301,261,0x0018,19,52536,443,,,,2713,256,,
1774113271.239501000,0.010776000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113271.260595000,0.000572000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2644,,,
1774113279.161643000,0.013339000,371,192.168.0.47,52.49.92.112,6,255,357,317,0x0018,71,52433,443,,,,2416,312,,
1774113279.188895000,0.027252000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113279.308399000,0.005477000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2383,,,
1774113279.309314000,0.000484000,371,192.168.0.47,52.49.92.112,6,255,357,317,0x0018,71,52433,443,,,,2383,312,,
1774113279.338821000,0.009640000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113279.570170000,0.032025000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2350,,,
1774113292.361117000,0.006814000,123,192.168.0.200,54.75.203.10,6,255,109,69,0x0018,19,52536,443,,,,2644,64,,
1774113292.393230000,0.032113000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113292.520171000,0.036347000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2575,,,
1774113302.408107000,0.120775000,373,192.168.0.59,52.50.169.45,6,255,359,319,0x0018,81,52433,443,,,,2823,314,,
1774113302.433022000,0.018819000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113302.466187000,0.020374000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2790,,,
1774113303.189245000,0.027883000,85,192.168.0.52,3.248.160.245,6,255,71,31,0x0018,10,52433,443,,,,2499,26,,
1774113303.214486000,0.025241000,85,3.248.160.245,192.168.0.52,6,115,71,31,0x0018,10,443,52433,,,,64032,26,,
