frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773402509.604972000,1.039454000,74,192.168.0.54,192.168.0.52,6,64,60,0,0x0002,1,39806,80,,,
1773402509.661532000,0.002465000,60,192.168.0.52,192.168.0.54,6,255,44,0,0x0012,1,80,39806,,,
1773402509.661550000,0.000018000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,1,39806,80,,,
1773402509.661629000,0.000052000,170,192.168.0.54,192.168.0.52,6,64,156,116,0x0018,1,39806,80,,,
1773402509.666787000,0.005088000,176,192.168.0.52,192.168.0.54,6,255,162,122,0x0018,1,80,39806,,,
1773402509.666795000,0.000008000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,1,39806,80,,,
1773402509.667035000,0.000214000,156,192.168.0.54,192.168.0.52,6,64,142,102,0x0018,1,39806,80,,,
1773402509.673463000,0.006355000,257,192.168.0.52,192.168.0.54,6,255,243,203,0x0018,1,80,39806,,,
1773402509.673577000,0.000114000,227,192.168.0.54,192.168.0.52,6,64,213,173,0x0018,1,39806,80,,,
1773402509.677613000,0.003962000,135,192.168.0.52,192.168.0.54,6,255,121,81,0x0018,1,80,39806,,,
1773402509.677925000,0.000312000,74,192.168.0.54,192.168.0.47,6,64,60,0,0x0002,2,46974,80,,,
1773402509.718366000,0.040369000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,1,39806,80,,,
1773402509.765396000,0.002393000,60,192.168.0.47,192.168.0.54,6,255,44,0,0x0012,2,80,46974,,,
1773402509.765403000,0.000007000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,2,46974,80,,,
1773402509.765456000,0.000028000,170,192.168.0.54,192.168.0.47,6,64,156,116,0x0018,2,46974,80,,,
1773402509.771753000,0.006232000,176,192.168.0.47,192.168.0.54,6,255,162,122,0x0018,2,80,46974,,,
1773402509.771757000,0.000004000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,2,46974,80,,,
1773402509.771840000,0.000057000,156,192.168.0.54,192.168.0.47,6,64,142,102,0x0018,2,46974,80,,,
1773402509.777627000,0.005718000,257,192.168.0.47,192.168.0.54,6,255,243,203,0x0018,2,80,46974,,,
1773402509.777696000,0.000069000,227,192.168.0.54,192.168.0.47,6,64,213,173,0x0018,2,46974,80,,,
1773402509.782354000,0.004585000,135,192.168.0.47,192.168.0.54,6,255,121,81,0x0018,2,80,46974,,,
1773402509.822366000,0.040012000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,2,46974,80,,,
1773402515.165643000,0.180936000,85,192.168.0.52,52.49.92.112,6,255,71,31,0x0018,4,52446,443,,,
