windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
3456,1774397290.942552,1774397292.942552,7,7,127.0,108.531101533155,66,372,87.0,6,0,444.5,6,6,140.42857142857142,81.52271082926758,113.0,108.531101533155,4,4,67.85714285714286,110.92404093406829,6,0.8571428571428571,20251.285714285714,7,0.004008,0.00799408545947148,1,1,0,0,1,2,0,0,1,1,0,0,0,74.16666666666667,117.00669496514575,0.17419925000000003,0.28942824950509466,0.004008,0.00799408545947148,plugOn
7035,1774397299.8234074,1774397301.8234074,1,1,135.0,,135,135,135.0,0,0,67.5,1,1,246.0,,121.0,,1,1,69.0,,1,1.0,3498.0,1,0.00032,,0,0,0,0,0,0,0,0,0,0,1,0,0,64.0,,,,0.00032,,idle
3457,1774397309.0990114,1774397311.0990114,100,100,250.71,390.1016778878413,66,2962,199.0,39,9,12535.5,4,4,145.19,90.27642118638855,236.71,390.1016778878413,3,3,185.07,390.13036554620066,62,0.62,4210.9,100,0.0027408799999999994,0.006113187213282975,2,1,0,0,0,0,0,0,0,0,43,54,0,180.92592592592592,200.53841224778444,0.06304467500000001,0.08853189611178605,0.0027408799999999994,0.006113187213282975,alexaBulbChange
3458,1774397317.477992,1774397319.477992,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23584.0,3,0.0013969999999999998,0.0007231680302668253,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.1568485,0.16720741922683932,0.0013969999999999998,0.0007231680302668253,plugOff
3459,1774397324.9986525,1774397326.9986525,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23562.0,3,0.0010786666666666668,7.074131277643449e-05,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.3082165,0.3973409780182507,0.0010786666666666668,7.074131277643449e-05,plugOn
3460,1774397347.7694955,1774397349.7694955,2,2,230.0,202.2325394193526,87,373,230.0,1,0,230.0,2,2,185.0,98.99494936611666,216.0,202.2325394193526,2,2,176.0,202.2325394193526,2,1.0,34047.0,2,0.0063725,0.008003741656250531,0,0,0,0,0,0,0,0,1,1,0,0,0,171.0,202.2325394193526,0.027136,,0.0063725,0.008003741656250531,plugOff
7036,1774397351.010644,1774397353.010644,2,2,81.5,21.920310216782973,66,97,81.5,2,0,81.5,2,2,89.5,36.062445840513924,67.5,21.920310216782973,2,2,15.5,21.920310216782973,1,0.5,1865.5,2,0.007265,0.008437198113117885,0,0,0,0,1,1,0,0,0,0,0,0,0,26.0,,2.781218,3.1490929789464777,0.007265,0.008437198113117885,idle
3461,1774397358.2849264,1774397360.2849264,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23518.0,3,0.007723666666666667,0.010068732310143783,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.273871,0.34732377985102025,0.007723666666666667,0.010068732310143783,plugOn
3462,1774397359.3687453,1774397361.3687453,4,4,163.5,142.41839768793918,60,372,111.0,2,0,327.0,3,3,217.75,68.63126109871507,148.0,143.8957956300322,2,3,105.0,144.76878116500117,3,0.75,18513.0,4,0.005998,0.008916162216260237,0,0,0,0,0,0,0,0,1,2,1,0,0,135.0,155.19987113396712,0.273871,0.34732377985102025,0.005998,0.008916162216260237,alexaBulbChange
3463,1774397384.6535716,1774397386.6535716,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23475.333333333332,3,0.0010413333333333331,0.001274714608582381,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.1562305,0.17298731005625817,0.0010413333333333331,0.001274714608582381,plugOff
7037,1774397389.412442,1774397391.412442,1,1,135.0,,135,135,135.0,0,0,67.5,1,1,246.0,,121.0,,1,1,69.0,,1,1.0,3498.0,1,0.000345,,0,0,0,0,0,0,0,0,0,0,1,0,0,64.0,,,,0.000345,,idle
3464,1774397394.1948445,1774397396.1948445,22,20,192.0909090909091,205.16657787106718,60,836,88.5,12,2,2113.0,6,5,157.77272727272728,92.65652487402924,177.54545454545453,205.5417295767519,4,5,133.4,214.40306360733408,11,0.55,8636.9,18,0.0006131363636363637,0.0011950066066944108,0,0,0,0,0,0,0,0,1,2,10,9,1,258.3333333333333,261.3340773798932,0.18183175,0.21757222455723918,0.0006317999999999999,0.001247104503281607,plugOn
7038,1774397410.9775155,1774397412.9775155,3,3,89.0,6.928203230275509,85,97,85.0,3,0,133.5,3,3,161.66666666666666,80.82903768654761,75.0,6.928203230275509,2,3,31.0,0.0,3,1.0,22464.333333333332,3,0.0007959999999999999,0.000733288483477001,0,0,1,1,1,0,0,0,0,0,0,0,0,26.0,0.0,2.51563,3.517194384455883,0.0007959999999999999,0.000733288483477001,idle
