frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773349533.326892000,0.000147000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349533.630007000,0.082219000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349533.933202000,0.023052000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349539.050380000,0.069433000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349539.050454000,0.000074000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349539.052794000,0.002340000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349539.102366000,0.026445000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349539.102438000,0.000072000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349539.150244000,0.028272000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,14,80,54542,,,
1773349539.757970000,0.078474000,315,192.168.0.200,52.50.169.45,6,255,301,261,0x0018,31,52436,443,,,
1773349539.784340000,0.026370000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349539.986965000,0.001770000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,31,52436,443,,,
1773349542.284842000,0.017614000,667,192.168.0.200,52.50.169.45,6,255,653,613,0x0018,31,52436,443,,,
1773349542.311688000,0.011578000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349542.313263000,0.001575000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349542.322673000,0.009410000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,31,52436,443,,,
1773349548.001437000,0.177073000,400,192.168.0.54,192.168.0.47,6,64,386,346,0x0018,15,49960,80,,,
1773349548.134935000,0.010317000,370,192.168.0.47,54.75.203.10,6,255,356,316,0x0018,80,52433,443,,,
1773349548.138376000,0.003441000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349548.138401000,0.000025000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349548.163753000,0.025324000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349548.263071000,0.001280000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349552.273971000,0.011521000,315,192.168.0.200,52.50.169.45,6,255,301,261,0x0018,31,52436,443,,,
1773349552.305610000,0.012905000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349552.486735000,0.003618000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,31,52436,443,,,
1773349552.903838000,0.020937000,97,192.168.0.55,8.8.8.8,17,64,83,,,,,,42520,53,euw1-device-tapo-care.i.tplinknbu.com
1773349552.903838000,0.000000000,97,192.168.0.55,8.8.4.4,17,64,83,,,,,,42520,53,euw1-device-tapo-care.i.tplinknbu.com
1773349552.903839000,0.000001000,97,192.168.0.55,194.168.4.123,17,64,83,,,,,,42520,53,euw1-device-tapo-care.i.tplinknbu.com
