windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,avgInterArrivalTime,stdInterArrivalTime,avgTTL,stdTTL,avgIPLen,stdIPLen,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,uniqueTCPStreams,DNSQueryCount,uniqueDNSQueries,label
0,1773746599.793076,1773746604.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.002915,0.0017890636284567038,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,idle
5,1773746604.793076,1773746609.793076,1,315.0,,0,0,1,1,0,0,1,0,0.00245,,255.0,,301.0,,261.0,,1,1,0,0,idle
6,1773746605.793076,1773746610.793076,3,166.0,132.82695509571843,0,0,2,2,0,0,3,0,0.0012976666666666666,0.0012163980982118204,208.33333333333334,80.82903768654761,150.0,135.2442235365341,110.0,135.2442235365341,2,1,0,0,idle
7,1773746606.793076,1773746611.793076,3,166.0,132.82695509571843,0,0,2,2,0,0,3,0,0.0012976666666666666,0.0012163980982118204,208.33333333333334,80.82903768654761,150.0,135.2442235365341,110.0,135.2442235365341,2,1,0,0,idle
8,1773746607.793076,1773746612.793076,3,166.0,132.82695509571843,0,0,2,2,0,0,3,0,0.0012976666666666666,0.0012163980982118204,208.33333333333334,80.82903768654761,150.0,135.2442235365341,110.0,135.2442235365341,2,1,0,0,idle
9,1773746608.793076,1773746613.793076,3,166.0,132.82695509571843,0,0,2,2,0,0,3,0,0.0012976666666666666,0.0012163980982118204,208.33333333333334,80.82903768654761,150.0,135.2442235365341,110.0,135.2442235365341,2,1,0,0,idle
10,1773746609.793076,1773746614.793076,5,97.8,34.50652112282546,0,0,2,2,0,0,5,0,0.005693800000000001,0.010361850423548875,199.0,76.68115805072325,81.4,37.79285646785647,41.4,37.79285646785646,3,1,0,0,idle
11,1773746610.793076,1773746615.793076,3,102.0,36.373066958946424,0,0,2,2,0,0,3,0,0.009008666666666667,0.013154690773003117,208.33333333333334,80.82903768654761,86.0,39.83716857408418,46.0,39.83716857408418,2,1,0,0,idle
12,1773746611.793076,1773746616.793076,3,102.0,36.373066958946424,0,0,2,2,0,0,3,0,0.009008666666666667,0.013154690773003117,208.33333333333334,80.82903768654761,86.0,39.83716857408418,46.0,39.83716857408418,2,1,0,0,idle
13,1773746612.793076,1773746617.793076,3,102.0,36.373066958946424,0,0,2,2,0,0,3,0,0.009008666666666667,0.013154690773003117,208.33333333333334,80.82903768654761,86.0,39.83716857408418,46.0,39.83716857408418,2,1,0,0,idle
14,1773746613.793076,1773746618.793076,3,102.0,36.373066958946424,0,0,2,2,0,0,3,0,0.009008666666666667,0.013154690773003117,208.33333333333334,80.82903768654761,86.0,39.83716857408418,46.0,39.83716857408418,2,1,0,0,idle
19,1773746618.793076,1773746623.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.001825,0.0025447984203075887,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
20,1773746619.793076,1773746624.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.001825,0.0025447984203075887,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
21,1773746620.793076,1773746625.793076,8,114.875,104.85151065060668,0,0,3,3,1,1,6,2,0.0042093750000000004,0.0055288973309719335,172.25,90.53925746800194,100.125,105.32051421392565,68.83333333333333,123.05026073384269,4,2,0,0,bulboff
22,1773746621.793076,1773746626.793076,12,99.91666666666667,86.51164749046887,0,0,3,3,1,1,6,6,0.0031420833333333335,0.0047437780581675104,199.83333333333334,82.92475596295205,85.41666666666667,86.78024317816012,68.83333333333333,123.05026073384269,4,2,0,0,bulboff
