windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,tcpPacketCount,udpPacketCount,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,avgInterPacketTime,stdInterPacketTime,maxInterPacketTime,smallPackets,mediumPackets,largePackets,count_size_200,count_size_368,count_size_369,count_size_74,anomalousRatio,cameraExternalPkts,cameraExternalBytes,rpi_pktsTo,rpi_pktsFrom,rpi_bytesTo,rpi_bytesFrom,rpi_avgLenTo,rpi_avgLenFrom,hub_pktsTo,hub_pktsFrom,hub_bytesTo,hub_bytesFrom,hub_avgLenTo,hub_avgLenFrom,lounge_pktsTo,lounge_pktsFrom,lounge_bytesTo,lounge_bytesFrom,lounge_avgLenTo,lounge_avgLenFrom,bedroom_pktsTo,bedroom_pktsFrom,bedroom_bytesTo,bedroom_bytesFrom,bedroom_avgLenTo,bedroom_avgLenFrom,camera_pktsTo,camera_pktsFrom,camera_bytesTo,camera_bytesFrom,camera_avgLenTo,camera_avgLenFrom,label,packetCount_delta,cameraExternalPkts_delta,lounge_pktsTo_delta,bedroom_pktsTo_delta,hub_pktsTo_delta,camera_pktsTo_delta
55396,1773404904.767854,1773404909.767854,6,70.0,0.0,0,6,1,1,0,0,0.3007767677307129,0.006229427083403719,0.3083961009979248,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,6,0,420,0.0,70.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,-2.0,0.0,0.0,0.0,0.0,0.0
55397,1773404905.767854,1773404910.767854,5,62.8,6.273754856543249,3,2,3,3,2,2,1.1434402465820312,1.8072332826149373,4.266923189163208,5,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,2,0,140,0.0,70.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,-1.0,0.0,2.0,0.0,0.0,0.0
55398,1773404906.767854,1773404911.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.005571961402893066,0.005499005317687988,0.011070966720581055,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,-2.0,0.0,0.0,0.0,0.0,0.0
55399,1773404907.767854,1773404912.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.005571961402893066,0.005499005317687988,0.011070966720581055,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55400,1773404908.767854,1773404913.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.005571961402893066,0.005499005317687988,0.011070966720581055,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55401,1773404909.767854,1773404914.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.005571961402893066,0.005499005317687988,0.011070966720581055,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55402,1773404910.767854,1773404915.767854,3,76.66666666666667,11.785113019775793,3,0,2,2,2,2,0.042768001556396484,0.016244173049926758,0.05901217460632324,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,85,145,85.0,72.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,-1.0,0.0,0.0,0.0
55403,1773404911.767854,1773404916.767854,3,76.66666666666667,11.785113019775793,3,0,2,2,2,2,0.042768001556396484,0.016244173049926758,0.05901217460632324,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,85,145,85.0,72.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55404,1773404912.767854,1773404917.767854,3,76.66666666666667,11.785113019775793,3,0,2,2,2,2,0.042768001556396484,0.016244173049926758,0.05901217460632324,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,85,145,85.0,72.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55405,1773404913.767854,1773404918.767854,3,76.66666666666667,11.785113019775793,3,0,2,2,2,2,0.042768001556396484,0.016244173049926758,0.05901217460632324,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,85,145,85.0,72.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
